Workshopname,Preis,Einheiten,Pole Studio,URL_E
We love Pancakes - mit Caroline Lange,"ab 69,00 €",1 Einheit,Pole and Move Mannheim,https://www.eversports.de/e/workshop/miY7n0b
Aerial Hoop Choreo Workshop ,"ab 30,00 €",1 Einheit,Pole and Move Mannheim,https://www.eversports.de/e/workshop/C9b62JT
Handstand Workshop,"ab 30,00 €",1 Einheit,Pole and Move Mannheim,https://www.eversports.de/e/workshop/0fonSE4
MY FAVORITE TRICKS AND COMBOS ON Spinning mit Bou Boulette -Alle Level-,"ab 52,00 €",1 Einheit,PoleSpirit,https://www.eversports.de/e/workshop/xUH0CLo
MY FAVORITE TRICKS AND COMBOS ON Spinning mit Bou Boulette Intermediate,"ab 52,00 €",1 Einheit,PoleSpirit,https://www.eversports.de/e/workshop/GpBpifi
Find your Elegance,"ab 25,00 €",1 Einheit,Pura Studio,https://www.eversports.de/e/workshop/qz-Llq1
Hoop Double ,"ab 25,00 €",1 Einheit,Pura Studio,https://www.eversports.de/e/workshop/zjrAzNO
Handspring Conditioning,"ab 25,00 €",1 Einheit,Pura Studio,https://www.eversports.de/e/workshop/827gEoq
Julias Static Transitions,Ausgebucht,1 Einheit,Pura Studio,https://www.eversports.de/e/workshop/CJtoJD0
Pole Flow Beginner,"ab 25,00 €",1 Einheit,Pura Studio,https://www.eversports.de/e/workshop/05na1FC
Hoop Strong,"ab 25,00 €",1 Einheit,Pura Studio,https://www.eversports.de/e/workshop/8fkp3td
YIN RE-CONNECTION WORKSHOP,"ab 25,00 €",1 Einheit,YOGA at Lobe Block,https://www.eversports.de/e/workshop/RTbWXKh
⚡️⚡️⚡️ Yoga & Gong Workshop mit White Sound,"ab 45,00 €",1 Einheit,YOGA at Lobe Block,https://www.eversports.de/e/workshop/OUz8GEH
Yoga & Gong Workshop mit White Sound,"ab 45,00 €",1 Einheit,YOGA at Lobe Block,https://www.eversports.de/e/workshop/BjV3WGc
Yoga & Gong Workshop mit White Sound,"ab 45,00 €",1 Einheit,YOGA at Lobe Block,https://www.eversports.de/e/workshop/XBkvMd1
ASSIST WORKSHOP: INTENSIVE with Juan Sierra,"ab 320,00 €",2 Einheiten,YOGA at Lobe Block,https://www.eversports.de/e/workshop/QaklFLB
Aerial Hoop 1,"ab 90,00 €",4 Einheiten,POLE HEROES,https://www.eversports.de/e/workshop/_cVfx28
Aerial Hoop 2,"ab 105,00 €",4 Einheiten,POLE HEROES,https://www.eversports.de/e/workshop/vPqMS0U
Heels Dance Workshop ,"ab 30,00 €",1 Einheit,One8dance Studio,https://www.eversports.de/e/workshop/fH0mDJb
POLE INVERTS I Get up side down,"ab 35,00 €",1 Einheit,BALANCE Neumarkt,https://www.eversports.de/e/workshop/AL0d8uV
AERIAL FUN I 8-12 Jahre ,"ab 9,00 €",1 Einheit,BALANCE Neumarkt,https://www.eversports.de/e/workshop/WpCq6MN
DANCE Kids I 4-5 Jahre ,"ab 5,00 €",1 Einheit,BALANCE Neumarkt,https://www.eversports.de/e/workshop/uE03gmT
DANCE FUN I 6-8 Jahre ,"ab 5,00 €",1 Einheit,BALANCE Neumarkt,https://www.eversports.de/e/workshop/Nm33K4u
POLE DANCE Tricks & Spins I Level 4,"ab 35,00 €",1 Einheit,BALANCE Neumarkt,https://www.eversports.de/e/workshop/DmdrEre
THAI YOGA MASSAGE ,"ab 35,00 €",1 Einheit,BALANCE Neumarkt,https://www.eversports.de/e/workshop/U27XEmo
AERIAL HOOP I Probestunde,"ab 10,00 €",1 Einheit,BALANCE Neumarkt,https://www.eversports.de/e/workshop/DujyYDr
HANDSTAND Vorbereitung I alle Level,"ab 35,00 €",1 Einheit,BALANCE Neumarkt,https://www.eversports.de/e/workshop/o9PsD_A
ACRO YOGA ,"ab 35,00 €",1 Einheit,BALANCE Neumarkt,https://www.eversports.de/e/workshop/5g9eg4-
Aufblühen mit Ayurveda ,"ab 35,00 €",1 Einheit,Niyaha Yoga Susann Kind,https://www.eversports.de/e/workshop/7pfT9NN
Mala & Kakao,"ab 81,00 €",1 Einheit,Niyaha Yoga Susann Kind,https://www.eversports.de/e/workshop/5NtOIyW
Partner Akrobatik,"ab 25,00 €",3 Einheiten,Pole Land,https://www.eversports.de/e/workshop/ezegoNQ
Intro to Hammock,"ab 35,00 €",1 Einheit,Pole Land,https://www.eversports.de/e/workshop/CJc9FIH
Aerial Hoop,"ab 50,00 €",1 Einheit,Pole Land,https://www.eversports.de/e/workshop/WccIM2q
Favourit Pole Combos and Splitz,"ab 79,00 €",2 Einheiten,Pole Land,https://www.eversports.de/e/workshop/OGUBUS8
Pole Choreo,"ab 35,00 €",1 Einheit,Pole Land,https://www.eversports.de/e/workshop/VVXdiD8
Spinning an der Static,"ab 35,00 €",1 Einheit,Pole Land,https://www.eversports.de/e/workshop/SqEYfO3
