Workshopname,Preis,Einheiten,Pole Studio,URL_E
 Lap Dance & Strip 'n' Tease Workshop ,"ab 60,00 €",1 Einheit,Schönheitstanz Studio,https://www.eversports.de/e/workshop/drIG2eI
 Lap Dance & Strip 'n' Tease Online Workshop ,"ab 50,00 €",1 Einheit,Schönheitstanz Studio,https://www.eversports.de/e/workshop/iuE5Wsa
Sensual Pole Dance mit Becky*,"ab 40,00 €",1 Einheit,Schönheitstanz Studio,https://www.eversports.de/e/workshop/wTDOHkH
Sensual Pole Dance mit Becky* ONLINE,"ab 35,00 €",1 Einheit,Schönheitstanz Studio,https://www.eversports.de/e/workshop/uHk1KUg
  Pole Dance Anfänger 1 Kurs ,"ab 85,00 €",2 Einheiten,Schönheitstanz Studio,https://www.eversports.de/e/workshop/nT2TC19
 Burlesque Anfängerworkshop mit Lady Lou,"ab 85,00 €",2 Einheiten,Schönheitstanz Studio,https://www.eversports.de/e/workshop/n6KRMjB
  Bedroom Burlesque mit Lady Lou THEMA: tba. ONLINE,"ab 40,00 €",1 Einheit,Schönheitstanz Studio,https://www.eversports.de/e/workshop/qNpxqi5
  Bedroom Burlesque mit Lady Lou THEMA: tba.,"ab 55,00 €",1 Einheit,Schönheitstanz Studio,https://www.eversports.de/e/workshop/i2UXxMl
  Pole Dance Anfänger 1 Kurs ,"ab 85,00 €",2 Einheiten,Schönheitstanz Studio,https://www.eversports.de/e/workshop/GaGNoGx
 Burlesque Anfängerworkshop mit Lady Lou,"ab 85,00 €",2 Einheiten,Schönheitstanz Studio,https://www.eversports.de/e/workshop/gOdtqrR
 Burlesque Anfängerworkshop mit Lady Lou,"ab 80,00 €",2 Einheiten,Schönheitstanz Studio,https://www.eversports.de/e/workshop/Nv15_mw
 Burlesque Anfängerworkshop mit Lady Lou (Zweistündig),"ab 40,00 €",1 Einheit,Schönheitstanz Studio,https://www.eversports.de/e/workshop/C8qDgCl
 Burlesque Anfängerworkshop mit Lady Lou (Zweistündig),"ab 40,00 €",1 Einheit,Schönheitstanz Studio,https://www.eversports.de/e/workshop/quAhd0H
Flexibility Workshop,"ab 48,00 €",4 Einheiten,Pole Plus,https://www.eversports.de/e/workshop/lBLI7xf
Heels Dance,"ab 0,00 €",4 Einheiten,Pole Plus,https://www.eversports.de/e/workshop/gJvAipC
Aerial Hoop Fortgeschritten,"ab 0,00 €",5 Einheiten,Pole Plus,https://www.eversports.de/e/workshop/dJBl325
ONLINE Perfect Pictures  | Pole Workshop,"ab 25,00 €",1 Einheit,Les.Pole,https://www.eversports.de/e/workshop/4lKTG4R
KASSEL+ONLINE Chairdance Perfect Pictures Workshop ,"ab 25,00 €",1 Einheit,Les.Pole,https://www.eversports.de/e/workshop/lByHwWr
BREMEN Pole X Heels,"ab 45,00 €",1 Einheit,Les.Pole,https://www.eversports.de/e/workshop/VC_twiJ
BREMEN Handbalance Essentials Pole Edition,"ab 45,00 €",1 Einheit,Les.Pole,https://www.eversports.de/e/workshop/L-VuR9j
Let's Burlesque!,"ab 45,00 €",1 Einheit,Vertical - Pole Aerial Dance,https://www.eversports.de/e/workshop/zaT4yf0
Intro to Aerial Hammock,"ab 39,00 €",1 Einheit,Vertical - Pole Aerial Dance,https://www.eversports.de/e/workshop/UhrDbEL
Einsteiger-Workshop,"ab 30,00 €",1 Einheit,Star Poledance,https://www.eversports.de/e/workshop/ed2c8lW
Poledance Einsteiger Workshop,Ausgebucht,4 Einheiten,PoleRoom Braunschweig,https://www.eversports.de/e/workshop/fx6DrZ8
Poledance Einsteiger Workshop - 4 Wochen,Ausgebucht,4 Einheiten,PoleRoom Braunschweig,https://www.eversports.de/e/workshop/0oN3kSH
Aerial Hoop Partner Workshop,"ab 39,00 €",1 Einheit,PoleRoom Braunschweig,https://www.eversports.de/e/workshop/1pzXUtZ
Split & Straddle Technik Online Workshop ,"ab 44,00 €",1 Einheit,Yoga and Pole Art by Selina,https://www.eversports.de/e/workshop/Zk4neM3
Split on Pole (Intermediate) Online Workshop,"ab 44,00 €",1 Einheit,Yoga and Pole Art by Selina,https://www.eversports.de/e/workshop/VnmCBGD
Yoga Rad Einsteiger Online Workshop ,"ab 44,00 €",1 Einheit,Yoga and Pole Art by Selina,https://www.eversports.de/e/workshop/qdYG4WC
Competition Pole Tricks Intermediate & Advanced Level Online Workshop ,"ab 44,00 €",1 Einheit,Yoga and Pole Art by Selina,https://www.eversports.de/e/workshop/M4MjCdo
Spinning Pole Combos Intermediate Online Workshop,"ab 44,00 €",1 Einheit,Yoga and Pole Art by Selina,https://www.eversports.de/e/workshop/bi8m5zs
Shoulder Mobility (4 Wochen Intensivkurs),"ab 134,00 €",4 Einheiten,Yoga and Pole Art by Selina,https://www.eversports.de/e/workshop/B_H90J1
Yoga Rad Online Workshop: Schwerpunkt Backbends ,"ab 44,00 €",1 Einheit,Yoga and Pole Art by Selina,https://www.eversports.de/e/workshop/ccLkJAE
Schnupperstunde Poledance,"ab 15,00 €",1 Einheit,Pole for Soul GbR,https://www.eversports.de/e/workshop/CehT5V7
SENSUAL POLE FLOW mit Natalie - in Quierschied,"ab 42,00 €",1 Einheit,Aerial Art Poledance,https://www.eversports.de/e/workshop/y8LqNM9
Aerial Hammock mit Vanessa Vilchis in Quierschied,"ab 45,00 €",1 Einheit,Aerial Art Poledance,https://www.eversports.de/e/workshop/-xFs2y7
Aerial Silks mit Vanessa Vilchis in Quierschied,"ab 45,00 €",1 Einheit,Aerial Art Poledance,https://www.eversports.de/e/workshop/XIjmMIv
Zusatztermin: Unholy - Floowork Workshop mit Alex in Quierschied,"ab 35,00 €",1 Einheit,Aerial Art Poledance,https://www.eversports.de/e/workshop/IhXUeyj
