Workshopname,Kategorie,Datum,Land,Location,Studio Name,URL_E,Art,Level,Beschreibung,Trainer,Uhrzeit
MY FAVORITE TRICKS AND COMBOS ON Spinning mit Bou Boulette -Alle Level-,Poledance,"Samstag, 27. April 2024",,17:00 - 18:00,PoleSpirit,https://www.eversports.de/e/workshop/xUH0CLo,Workshop,,Du liebst Spinning genau wie ich? Dann lass uns gemeinsam mit fließenden Kombinationen aus Spins und Tricks abheben und um die Stange tanzen. Beginner herzlich willkommen,,17:00 - 18:00
MY FAVORITE TRICKS AND COMBOS ON Spinning mit Bou Boulette Intermediate,Poledance,"Samstag, 27. April 2024",,18:30 - 19:30,PoleSpirit,https://www.eversports.de/e/workshop/GpBpifi,Workshop,,Du liebst Spinning genau wie ich? Dann lass uns gemeinsam mit fließenden Kombinationen aus Spins und Tricks abheben und um die Stange tanzen.,,18:30 - 19:30
Find your Elegance,Poledance,"Sonntag, 17. März 2024",,Einzelticket,Pura Studio,https://www.eversports.de/e/workshop/qz-Llq1,Workshop,,"Entdecke deine Eleganz im 'Find Your Elegance' Poledance-Workshop. Erlange die Fertigkeit, elegant an der Spinning Pole zu klettern und perfektioniere das Training für schöne Hände und Füße. Erfahre Techniken und erlerne Tricks, die deine Pole-Technik auf ein neues Niveau heben.",,13:15 - 14:15
Hoop Double,Aerial Hoop,"Freitag, 22. März 2024",,Einzelticket,Pura Studio,https://www.eversports.de/e/workshop/zjrAzNO,Workshop,,"Tauche ein in den 'Hoop Double' Workshop und erlerne eine bezaubernde Choreografie, die auf einfachen Tricks zu zweit am Hoop basiert.",,19:00 - 20:00
Handspring Conditioning,Poledance,"Sonntag, 24. März 2024",,Einzelticket,Pura Studio,https://www.eversports.de/e/workshop/827gEoq,Workshop,,"Optimiere deine Handspring-Technik im Poledance Workshop Handspring-Conditioning . Erfahre durch gezielte Übungen und diverse Variationen, wie du deinen Handspring verfeinerst und deine Kraft effektiv aufbaust. Dieser Workshop ist für Teilnehmer ab Level 3 geeignet.",,13:15 - 14:15
Julias Static Transitions,Poledance,"Sonntag, 7. April 2024",,Einzelticket,Pura Studio,https://www.eversports.de/e/workshop/CJtoJD0,Workshop,,"""Julias Static Transitions"" ist ein Workshop, der sich ideal für Fortgeschrittene ab Level 3 eignet. Hier lernst du, verschiedene Tricks an der Static Pole nahtlos zu kombinieren. Voraussetzung dafür ist eine sichere Beherrschung von Inside/Outside Leghang und Crucifix. Perfekt, um deine Pole-Dance-Fähigkeiten auf das nächste Level zu bringen!",,13:15 - 14:15
Pole Flow Beginner,Poledance,"Sonntag, 14. April 2024",,Einzelticket,Pura Studio,https://www.eversports.de/e/workshop/05na1FC,Workshop,,"Lerne eine einfache, aber beeindruckende Static Choreografie mit fließenden Bewegungen und einfachen Tricks.",,13:15 - 14:15
Hoop Strong,Aerial Hoop,"Sonntag, 28. April 2024",,Einzelticket,Pura Studio,https://www.eversports.de/e/workshop/8fkp3td,Workshop,,"Stärke deinen Körper mit unserem Workshop ‘Hoop Strong’! Erlebe ein intensives Krafttraining, das mit aerial Hoop-Übungen kombiniert wird. Dieses Ganzkörpertraining ist für alle Levels geeignet, auch ohne Vorerfahrung.",,13:15 - 14:15
YIN RE-CONNECTION WORKSHOP,Yin Yoga,"Freitag, 15. März 2024",,"Böttgerstraße 16, 13357 Berlin",YOGA at Lobe Block,https://www.eversports.de/e/workshop/RTbWXKh,Workshop,,"YIN RE-CONNECTION WORKSHOP Ein grundlegendes Element, wenn nicht sogar die Essenz im Yoga ist das Thema Verbindung. Wie können wir uns durch Yoga mit uns selbst, aber auch mit anderen verbinden? Dieser Frage gehen wir in meinem allerersten Workshop auf den Grund.  Das Thema Verbindung ist meine persönliche Herzensangelegenheit und es ist vor allem das, was ich meinen Schüler*innen durch meine Tätigkeit als Yogalehrerin am meisten mitgeben möchte. Für mich eignet sich dazu vor allem Yin Yoga, ein sehr langsamer und besonders achtsamer Stil, bei dem viel Raum für Verbindung entstehen kann.  Wir nehmen uns in diesem Workshop Zeit zunächst durch verschiedene Techniken, wie Atemübungen, Meditation und sanfte Berührung einen Zugang zu uns selbst zu finden. Anschließend werden wir durch einfache Übungen in der Gruppe das Gemeinschaftsgefühl stärken und miteinander in Verbindung treten, sodass wir uns als Teil der Gruppe und trotzdem als Individuum wahrnehmen lernen. Auf dieser Grundlage tauchen wir dann, begleitet von sanfter Musik, zusammen in eine ausgiebige Yin Yoga Praxis ein. Wir haben besonders viel Zeit für die einzelnen Positionen und es gibt viel Hintergrundwissen zur Wirkung der Asanas (Übungen) auf körperlicher, geistiger und spiritueller Ebene.  Komme gern in bequemer Kleidung und mit einem offenen Herzen. Du brauchst für den Workshop keine Vorkenntnisse oder eine regelmäßige Yogapraxis. Ich freu mich auf dich! Y Freitag, 15.03.2024  18:00 – 20:30  25 Euro",,18:00 - 20:30
⚡️⚡️⚡️ Yoga & Gong Workshop mit White Sound,Gong Bath,"Sonntag, 17. März 2024",,"Böttgerstraße 16, 13357 Berlin",YOGA at Lobe Block,https://www.eversports.de/e/workshop/OUz8GEH,Workshop,,"17. März 14-16 Uhr Yoga und Gong Workshop In diesem Workshop: • Wir praktizieren kraftvolles Yoga, um deine Nieren zu aktivieren. • Unser Ziel ist es, dein Nierensystem zu stärken und auszugleichen. • Dies bietet dir die Möglichkeit, aus Ängsten und Unsicherheiten auszusteigen. • Durch ein gestärktes Nierensystem bekommst du den extra Energieschub, welchen du für das tägliche Leben brauchst, um in dir zu ruhen und zu entspannen. Im Shavasana-Teil: • Entspanne dich 20-30 Minuten lang, gemütlich eingekuschelt, während ich den Gong mit harmonischen Klängen spiele. • Der Gong symbolisiert das Universum und enthält alle Schwingungen des Kosmos. Eine Gong-Meditation ermöglicht eine tiefgreifende Erfahrung von Heilung und Entspannung, wenn du in die Schwingungen des Gongs eintauchst - den Urklang des Universums. White Sound-Erfahrung: • Wir beginnen sanft und leise, um dir die Möglichkeit zu geben, tief in die Entspannung einzutauchen. Es ist völlig in Ordnung, einfach einzuschlafen, wenn du möchtest. • Zu einem bestimmten Zeitpunkt, während der Gong erklingt, wird er sehr intensiv und laut - das ist der ""White Sound"". Dieses Geräusch mag anfangs ungewohnt sein, aber sei versichert, die Lautstärke ist sicher. In diesem Moment durchdringt die Schwingung heilend den Raum und dringt bis auf zelluläre Ebene in dich ein. • Der ""White Sound"" ist besonders effektiv bei der Auflösung innerer Blockaden und Spannungen. Er ermöglicht es deiner Energie, ungehindert zu fließen, und führt deinen Körper und Geist in einen Zustand absoluter Entspannung. Dein Unterbewusstsein hat die Möglichkeit, sich zu klären und neu zu ordnen, und Gefühle sowie Emotionen, die in deiner Körperstruktur feststecken, können sich transformieren. Gemeinsam auf dem Weg:• In diesem Workshop begleiten dich Kundalini-Flow Yoga und der Gong auf einer Reise, um tief verwurzelte Blockaden zu lösen, deine innere Stärke zu festigen und über vermeintliche Grenzen hinauszuwachsen. • Diese besondere Form der Gongmeditation hat eine lange Tradition und dient der Reinigung aller Energiekörper. In der yogischen Praxis wird sie als eines der kraftvollsten Schamanischen Werkzeuge zur Bewusstseinserweiterung und Heilung angesehen. • Keine Vorkenntnisse sind erforderlich, daher sind auch Einsteiger herzlich willkommen. Ich empfehle, keine schweren Mahlzeiten innerhalb von 2 Stunden vor der Veranstaltung zu sich zu nehmen und auf Alkohol oder andere berauschende Substanzen zu verzichten. • ""Time to let the Magic happen"" Weitere Termine:  27. April, 25. Mai",,14:00 - 16:00
